sector;subsector_new;rootcol;order;col;year;pollutant;metric;unit;emission;source
Land- und Forstw.;verschiedene;Purple;13;#7B2CBF;2020;NOx;Jahresmenge;t/a;213.0562670327;Ostluft & BAFU
Land- und Forstw.;Weiden;Purple;14;#C77DFF;2020;NOx;Jahresmenge;t/a;122.748752102;Ostluft & BAFU
Land- und Forstw.;Ställe;Purple;12;#3C096C;2020;NOx;Jahresmenge;t/a;45.204804736;Ostluft & BAFU
Verkehr;Strassenverkehr;Gray;15;#1A1A1A;2020;NOx;Jahresmenge;t/a;3987.885359379;Ostluft & BAFU
Verkehr;Flugverkehr;Gray;17;#E5E5E5;2020;NOx;Jahresmenge;t/a;535.000005344;Ostluft & BAFU
Verkehr;verschiedene;Gray;16;#7F7F7F;2020;NOx;Jahresmenge;t/a;158.400390904;Ostluft & BAFU
Dienstleistungen;Feuerungen Holz und Kohle;Gold;1;#A67C00;2020;PM10;Jahresmenge;t/a;72.102778005;Ostluft & BAFU
Dienstleistungen;Feuerungen Öl und Gas;Gold;3;#FFD447;2020;PM10;Jahresmenge;t/a;2.278607494;Ostluft & BAFU
Haushalte;verschiedene;Green;5;#52796F;2020;PM10;Jahresmenge;t/a;158.056819443;Ostluft & BAFU
Haushalte;Feuerungen Holz und Kohle;Green;4;#354F52;2020;PM10;Jahresmenge;t/a;85.768379158;Ostluft & BAFU
Haushalte;Feuerungen Öl und Gas;Green;7;#CAD2C5;2020;PM10;Jahresmenge;t/a;2.172986097;Ostluft & BAFU
Industrie;Baumaschinen;Blue;10;#8897BD;2020;PM10;Jahresmenge;t/a;265.887061241;Ostluft & BAFU
Industrie;verschiedene;Blue;9;#2C497F;2020;PM10;Jahresmenge;t/a;225.52530182616;Ostluft & BAFU
Industrie;Kehrichtverbrennungsanagen;Blue;11;#E3E4FA;2020;PM10;Jahresmenge;t/a;7.285087284;Ostluft & BAFU
Land- und Forstw.;verschiedene;Purple;13;#7B2CBF;2020;PM10;Jahresmenge;t/a;99.25033629033;Ostluft & BAFU
Land- und Forstw.;Ställe;Purple;12;#3C096C;2020;PM10;Jahresmenge;t/a;38.767110617;Ostluft & BAFU
Verkehr;Strassenverkehr;Gray;15;#1A1A1A;2020;PM10;Jahresmenge;t/a;431.72502115;Ostluft & BAFU
Verkehr;verschiedene;Gray;16;#7F7F7F;2020;PM10;Jahresmenge;t/a;125.183205488;Ostluft & BAFU
Verkehr;Flugverkehr;Gray;17;#E5E5E5;2020;PM10;Jahresmenge;t/a;8.000000241;Ostluft & BAFU
Dienstleistungen;Feuerungen Holz und Kohle;Gold;1;#A67C00;2020;PM2.5;Jahresmenge;t/a;67.680767419;Ostluft & BAFU
Dienstleistungen;Feuerungen Öl und Gas;Gold;3;#FFD447;2020;PM2.5;Jahresmenge;t/a;2.278607494;Ostluft & BAFU
Haushalte;verschiedene;Green;5;#52796F;2020;PM2.5;Jahresmenge;t/a;118.8344237944;Ostluft & BAFU
Haushalte;Feuerungen Holz und Kohle;Green;4;#354F52;2020;PM2.5;Jahresmenge;t/a;80.846535503;Ostluft & BAFU
Haushalte;Feuerungen Öl und Gas;Green;7;#CAD2C5;2020;PM2.5;Jahresmenge;t/a;2.172986097;Ostluft & BAFU
Industrie;verschiedene;Blue;9;#2C497F;2020;PM2.5;Jahresmenge;t/a;154.899377831907;Ostluft & BAFU
Industrie;Baumaschinen;Blue;10;#8897BD;2020;PM2.5;Jahresmenge;t/a;43.78577548;Ostluft & BAFU
Industrie;Kehrichtverbrennungsanagen;Blue;11;#E3E4FA;2020;PM2.5;Jahresmenge;t/a;7.285087284;Ostluft & BAFU
Land- und Forstw.;verschiedene;Purple;13;#7B2CBF;2020;PM2.5;Jahresmenge;t/a;20.787638070527;Ostluft & BAFU
Land- und Forstw.;Ställe;Purple;12;#3C096C;2020;PM2.5;Jahresmenge;t/a;5.019187737;Ostluft & BAFU
Verkehr;Strassenverkehr;Gray;15;#1A1A1A;2020;PM2.5;Jahresmenge;t/a;171.577067991;Ostluft & BAFU
Verkehr;verschiedene;Gray;16;#7F7F7F;2020;PM2.5;Jahresmenge;t/a;21.781450853;Ostluft & BAFU
Verkehr;Flugverkehr;Gray;17;#E5E5E5;2020;PM2.5;Jahresmenge;t/a;8.000000241;Ostluft & BAFU
Dienstleistungen;Feuerungen Öl und Gas;Gold;3;#FFD447;2020;SO2;Jahresmenge;t/a;45.567781362;Ostluft & BAFU
Dienstleistungen;Feuerungen Holz und Kohle;Gold;1;#A67C00;2020;SO2;Jahresmenge;t/a;8.3601396;Ostluft & BAFU
Dienstleistungen;verschiedene;Gold;2;#FFBF00;2020;SO2;Jahresmenge;t/a;0.00774919285;Ostluft & BAFU
Haushalte;Feuerungen Öl und Gas;Green;7;#CAD2C5;2020;SO2;Jahresmenge;t/a;51.941378786;Ostluft & BAFU
Haushalte;Feuerungen Holz und Kohle;Green;4;#354F52;2020;SO2;Jahresmenge;t/a;14.750123377;Ostluft & BAFU
Haushalte;verschiedene;Green;5;#52796F;2020;SO2;Jahresmenge;t/a;3.12360459701;Ostluft & BAFU
Industrie;verschiedene;Blue;9;#2C497F;2020;SO2;Jahresmenge;t/a;193.8096315495005;Ostluft & BAFU
Industrie;Kehrichtverbrennungsanagen;Blue;11;#E3E4FA;2020;SO2;Jahresmenge;t/a;46.198114482;Ostluft & BAFU
Industrie;Baumaschinen;Blue;10;#8897BD;2020;SO2;Jahresmenge;t/a;9.696161939;Ostluft & BAFU
Land- und Forstw.;verschiedene;Purple;13;#7B2CBF;2020;SO2;Jahresmenge;t/a;1.2054885815789;Ostluft & BAFU
Verkehr;Flugverkehr;Gray;17;#E5E5E5;2020;SO2;Jahresmenge;t/a;36.265740543;Ostluft & BAFU
Verkehr;Strassenverkehr;Gray;15;#1A1A1A;2020;SO2;Jahresmenge;t/a;8.010305958;Ostluft & BAFU
Verkehr;verschiedene;Gray;16;#7F7F7F;2020;SO2;Jahresmenge;t/a;0.22131418719999998;Ostluft & BAFU
Dienstleistungen;Feuerungen Holz und Kohle;Gold;1;#A67C00;2020;eBC;Jahresmenge;t/a;18.782723648999998;Ostluft & BAFU
Dienstleistungen;Feuerungen Öl und Gas;Gold;3;#FFD447;2020;eBC;Jahresmenge;t/a;0.09214949261000001;Ostluft & BAFU
Haushalte;Feuerungen Holz und Kohle;Green;4;#354F52;2020;eBC;Jahresmenge;t/a;39.043155254;Ostluft & BAFU
Haushalte;verschiedene;Green;5;#52796F;2020;eBC;Jahresmenge;t/a;4.44421251255;Ostluft & BAFU
Haushalte;Feuerungen Öl und Gas;Green;7;#CAD2C5;2020;eBC;Jahresmenge;t/a;0.09357061567999998;Ostluft & BAFU
Industrie;verschiedene;Blue;9;#2C497F;2020;eBC;Jahresmenge;t/a;4.981137064917;Ostluft & BAFU
Industrie;Baumaschinen;Blue;10;#8897BD;2020;eBC;Jahresmenge;t/a;2.22428274;Ostluft & BAFU
Industrie;Kehrichtverbrennungsanagen;Blue;11;#E3E4FA;2020;eBC;Jahresmenge;t/a;0.065565785;Ostluft & BAFU
Land- und Forstw.;verschiedene;Purple;13;#7B2CBF;2020;eBC;Jahresmenge;t/a;8.4556619393816;Ostluft & BAFU
Verkehr;Strassenverkehr;Gray;15;#1A1A1A;2020;eBC;Jahresmenge;t/a;31.700583656;Ostluft & BAFU
Verkehr;Flugverkehr;Gray;17;#E5E5E5;2020;eBC;Jahresmenge;t/a;2.881942992;Ostluft & BAFU
Verkehr;verschiedene;Gray;16;#7F7F7F;2020;eBC;Jahresmenge;t/a;1.8707146860000001;Ostluft & BAFU
Dienstleistungen;Feuerungen Holz und Kohle;Gold;1;#A67C00;2021;CO;Jahresmenge;t/a;1416.406717775;Ostluft & BAFU
Dienstleistungen;verschiedene;Gold;2;#FFBF00;2021;CO;Jahresmenge;t/a;803.975221522;Ostluft & BAFU
Dienstleistungen;Feuerungen Öl und Gas;Gold;3;#FFD447;2021;CO;Jahresmenge;t/a;139.938572996;Ostluft & BAFU
Haushalte;Feuerungen Holz und Kohle;Green;4;#354F52;2021;CO;Jahresmenge;t/a;2251.645951216;Ostluft & BAFU
Haushalte;verschiedene;Green;5;#52796F;2021;CO;Jahresmenge;t/a;803.379966656;Ostluft & BAFU
Haushalte;Feuerungen Öl und Gas;Green;7;#CAD2C5;2021;CO;Jahresmenge;t/a;173.880679032;Ostluft & BAFU
Industrie;verschiedene;Blue;9;#2C497F;2021;CO;Jahresmenge;t/a;1045.4848139597;Ostluft & BAFU
Industrie;Baumaschinen;Blue;10;#8897BD;2021;CO;Jahresmenge;t/a;417.590690735;Ostluft & BAFU
Industrie;Kehrichtverbrennungsanagen;Blue;11;#E3E4FA;2021;CO;Jahresmenge;t/a;56.832984;Ostluft & BAFU
Land- und Forstw.;verschiedene;Purple;13;#7B2CBF;2021;CO;Jahresmenge;t/a;1021.373455796;Ostluft & BAFU
Verkehr;Strassenverkehr;Gray;15;#1A1A1A;2021;CO;Jahresmenge;t/a;4266.53628704;Ostluft & BAFU
Verkehr;verschiedene;Gray;16;#7F7F7F;2021;CO;Jahresmenge;t/a;3374.796831415;Ostluft & BAFU
Verkehr;Flugverkehr;Gray;17;#E5E5E5;2021;CO;Jahresmenge;t/a;567.999997754;Ostluft & BAFU
Dienstleistungen;Feuerungen Holz und Kohle;Gold;1;#A67C00;2021;NH3;Jahresmenge;t/a;5.7093313939999994;Ostluft & BAFU
Dienstleistungen;Feuerungen Öl und Gas;Gold;3;#FFD447;2021;NH3;Jahresmenge;t/a;1.1736903853;Ostluft & BAFU
Dienstleistungen;verschiedene;Gold;2;#FFBF00;2021;NH3;Jahresmenge;t/a;0.002579605717;Ostluft & BAFU
Haushalte;verschiedene;Green;5;#52796F;2021;NH3;Jahresmenge;t/a;82.446124868033;Ostluft & BAFU
Haushalte;Feuerungen Holz und Kohle;Green;4;#354F52;2021;NH3;Jahresmenge;t/a;5.290998374;Ostluft & BAFU
Haushalte;Feuerungen Öl und Gas;Green;7;#CAD2C5;2021;NH3;Jahresmenge;t/a;0.017115258926;Ostluft & BAFU
Industrie;verschiedene;Blue;9;#2C497F;2021;NH3;Jahresmenge;t/a;82.7875294891263;Ostluft & BAFU
Industrie;Lösungsmittel;Blue;8;#293961;2021;NH3;Jahresmenge;t/a;7.662039926;Ostluft & BAFU
Industrie;Kehrichtverbrennungsanagen;Blue;11;#E3E4FA;2021;NH3;Jahresmenge;t/a;3.6309962000000002;Ostluft & BAFU
Industrie;Baumaschinen;Blue;10;#8897BD;2021;NH3;Jahresmenge;t/a;0.1544490985;Ostluft & BAFU
Land- und Forstw.;Weiden;Purple;14;#C77DFF;2021;NH3;Jahresmenge;t/a;1407.424622042;Ostluft & BAFU
Land- und Forstw.;Ställe;Purple;12;#3C096C;2021;NH3;Jahresmenge;t/a;1267.279398386;Ostluft & BAFU
Land- und Forstw.;verschiedene;Purple;13;#7B2CBF;2021;NH3;Jahresmenge;t/a;220.5588154306984;Ostluft & BAFU
Verkehr;Strassenverkehr;Gray;15;#1A1A1A;2021;NH3;Jahresmenge;t/a;127.908280736;Ostluft & BAFU
Verkehr;verschiedene;Gray;16;#7F7F7F;2021;NH3;Jahresmenge;t/a;0.0047620319;Ostluft & BAFU
Dienstleistungen;Feuerungen Holz und Kohle;Gold;1;#A67C00;2021;NMVOC;Jahresmenge;t/a;102.477359837;Ostluft & BAFU
Dienstleistungen;Feuerungen Öl und Gas;Gold;3;#FFD447;2021;NMVOC;Jahresmenge;t/a;52.167285266;Ostluft & BAFU
Dienstleistungen;verschiedene;Gold;2;#FFBF00;2021;NMVOC;Jahresmenge;t/a;39.389879255;Ostluft & BAFU
Haushalte;Lösungsmittel;Green;6;#84A98C;2021;NMVOC;Jahresmenge;t/a;1262.212700183;Ostluft & BAFU
Haushalte;Feuerungen Holz und Kohle;Green;4;#354F52;2021;NMVOC;Jahresmenge;t/a;170.357289061;Ostluft & BAFU
Haushalte;verschiedene;Green;5;#52796F;2021;NMVOC;Jahresmenge;t/a;80.446304526;Ostluft & BAFU
Haushalte;Feuerungen Öl und Gas;Green;7;#CAD2C5;2021;NMVOC;Jahresmenge;t/a;77.035124193;Ostluft & BAFU
Industrie;Lösungsmittel;Blue;8;#293961;2021;NMVOC;Jahresmenge;t/a;5267.442704977;Ostluft & BAFU
Industrie;verschiedene;Blue;9;#2C497F;2021;NMVOC;Jahresmenge;t/a;515.08863899299;Ostluft & BAFU
Industrie;Baumaschinen;Blue;10;#8897BD;2021;NMVOC;Jahresmenge;t/a;88.680975237;Ostluft & BAFU
Industrie;Kehrichtverbrennungsanagen;Blue;11;#E3E4FA;2021;NMVOC;Jahresmenge;t/a;22.101716;Ostluft & BAFU
Land- und Forstw.;Ställe;Purple;12;#3C096C;2021;NMVOC;Jahresmenge;t/a;941.668536947;Ostluft & BAFU
Land- und Forstw.;verschiedene;Purple;13;#7B2CBF;2021;NMVOC;Jahresmenge;t/a;193.8921005577;Ostluft & BAFU
Verkehr;verschiedene;Gray;16;#7F7F7F;2021;NMVOC;Jahresmenge;t/a;566.77613796;Ostluft & BAFU
Verkehr;Strassenverkehr;Gray;15;#1A1A1A;2021;NMVOC;Jahresmenge;t/a;396.038976376;Ostluft & BAFU
Verkehr;Flugverkehr;Gray;17;#E5E5E5;2021;NMVOC;Jahresmenge;t/a;41.665932163;Ostluft & BAFU
natürl. Emissionen;Wälder;natural;18;#636B2F;2021;NMVOC;Jahresmenge;t/a;4289.386099001;Ostluft & BAFU
Dienstleistungen;Feuerungen Öl und Gas;Gold;3;#FFD447;2021;NOx;Jahresmenge;t/a;345.95686025599997;Ostluft & BAFU
Dienstleistungen;Feuerungen Holz und Kohle;Gold;1;#A67C00;2021;NOx;Jahresmenge;t/a;265.21687572;Ostluft & BAFU
Dienstleistungen;verschiedene;Gold;2;#FFBF00;2021;NOx;Jahresmenge;t/a;5.337154993;Ostluft & BAFU
Haushalte;Feuerungen Öl und Gas;Green;7;#CAD2C5;2021;NOx;Jahresmenge;t/a;375.22031024;Ostluft & BAFU
Haushalte;Feuerungen Holz und Kohle;Green;4;#354F52;2021;NOx;Jahresmenge;t/a;165.081849658;Ostluft & BAFU
Haushalte;verschiedene;Green;5;#52796F;2021;NOx;Jahresmenge;t/a;16.070453223;Ostluft & BAFU
Industrie;verschiedene;Blue;9;#2C497F;2021;NOx;Jahresmenge;t/a;648.8297705384;Ostluft & BAFU
Industrie;Kehrichtverbrennungsanagen;Blue;11;#E3E4FA;2021;NOx;Jahresmenge;t/a;296.794472;Ostluft & BAFU
Industrie;Baumaschinen;Blue;10;#8897BD;2021;NOx;Jahresmenge;t/a;149.275908463;Ostluft & BAFU
Land- und Forstw.;verschiedene;Purple;13;#7B2CBF;2021;NOx;Jahresmenge;t/a;213.7918728678;Ostluft & BAFU
Land- und Forstw.;Weiden;Purple;14;#C77DFF;2021;NOx;Jahresmenge;t/a;123.224975266;Ostluft & BAFU
Land- und Forstw.;Ställe;Purple;12;#3C096C;2021;NOx;Jahresmenge;t/a;45.192964165;Ostluft & BAFU
Verkehr;Strassenverkehr;Gray;15;#1A1A1A;2021;NOx;Jahresmenge;t/a;3686.532896578;Ostluft & BAFU
Verkehr;Flugverkehr;Gray;17;#E5E5E5;2021;NOx;Jahresmenge;t/a;611.000007387;Ostluft & BAFU
Verkehr;verschiedene;Gray;16;#7F7F7F;2021;NOx;Jahresmenge;t/a;167.09312977;Ostluft & BAFU
Dienstleistungen;Feuerungen Holz und Kohle;Gold;1;#A67C00;2021;PM10;Jahresmenge;t/a;80.632436201;Ostluft & BAFU
Dienstleistungen;Feuerungen Öl und Gas;Gold;3;#FFD447;2021;PM10;Jahresmenge;t/a;2.576199732;Ostluft & BAFU
Haushalte;verschiedene;Green;5;#52796F;2021;PM10;Jahresmenge;t/a;133.669792141;Ostluft & BAFU
Haushalte;Feuerungen Holz und Kohle;Green;4;#354F52;2021;PM10;Jahresmenge;t/a;94.875412833;Ostluft & BAFU
Haushalte;Feuerungen Öl und Gas;Green;7;#CAD2C5;2021;PM10;Jahresmenge;t/a;2.416728181;Ostluft & BAFU
Industrie;Baumaschinen;Blue;10;#8897BD;2021;PM10;Jahresmenge;t/a;266.999200131;Ostluft & BAFU
Industrie;verschiedene;Blue;9;#2C497F;2021;PM10;Jahresmenge;t/a;227.80974527368;Ostluft & BAFU
Industrie;Kehrichtverbrennungsanagen;Blue;11;#E3E4FA;2021;PM10;Jahresmenge;t/a;6.4726454;Ostluft & BAFU
Land- und Forstw.;verschiedene;Purple;13;#7B2CBF;2021;PM10;Jahresmenge;t/a;98.70632932363;Ostluft & BAFU
Land- und Forstw.;Ställe;Purple;12;#3C096C;2021;PM10;Jahresmenge;t/a;39.315114826;Ostluft & BAFU
Verkehr;Strassenverkehr;Gray;15;#1A1A1A;2021;PM10;Jahresmenge;t/a;447.52444965300003;Ostluft & BAFU
Verkehr;verschiedene;Gray;16;#7F7F7F;2021;PM10;Jahresmenge;t/a;127.628893871;Ostluft & BAFU
Verkehr;Flugverkehr;Gray;17;#E5E5E5;2021;PM10;Jahresmenge;t/a;10.000000382;Ostluft & BAFU
Dienstleistungen;Feuerungen Holz und Kohle;Gold;1;#A67C00;2021;PM2.5;Jahresmenge;t/a;75.720466389;Ostluft & BAFU
Dienstleistungen;Feuerungen Öl und Gas;Gold;3;#FFD447;2021;PM2.5;Jahresmenge;t/a;2.576199732;Ostluft & BAFU
Haushalte;verschiedene;Green;5;#52796F;2021;PM2.5;Jahresmenge;t/a;92.3464612058;Ostluft & BAFU
Haushalte;Feuerungen Holz und Kohle;Green;4;#354F52;2021;PM2.5;Jahresmenge;t/a;89.444832789;Ostluft & BAFU
Haushalte;Feuerungen Öl und Gas;Green;7;#CAD2C5;2021;PM2.5;Jahresmenge;t/a;2.416728181;Ostluft & BAFU
Industrie;verschiedene;Blue;9;#2C497F;2021;PM2.5;Jahresmenge;t/a;156.09762949454;Ostluft & BAFU
Industrie;Baumaschinen;Blue;10;#8897BD;2021;PM2.5;Jahresmenge;t/a;43.695227021;Ostluft & BAFU
Industrie;Kehrichtverbrennungsanagen;Blue;11;#E3E4FA;2021;PM2.5;Jahresmenge;t/a;6.4726454;Ostluft & BAFU
Land- und Forstw.;verschiedene;Purple;13;#7B2CBF;2021;PM2.5;Jahresmenge;t/a;20.150860581603;Ostluft & BAFU
Land- und Forstw.;Ställe;Purple;12;#3C096C;2021;PM2.5;Jahresmenge;t/a;5.06114512;Ostluft & BAFU
Verkehr;Strassenverkehr;Gray;15;#1A1A1A;2021;PM2.5;Jahresmenge;t/a;175.529648694;Ostluft & BAFU
Verkehr;verschiedene;Gray;16;#7F7F7F;2021;PM2.5;Jahresmenge;t/a;21.876864023;Ostluft & BAFU
Verkehr;Flugverkehr;Gray;17;#E5E5E5;2021;PM2.5;Jahresmenge;t/a;10.000000382;Ostluft & BAFU
Dienstleistungen;Feuerungen Öl und Gas;Gold;3;#FFD447;2021;SO2;Jahresmenge;t/a;45.971081874;Ostluft & BAFU
Dienstleistungen;Feuerungen Holz und Kohle;Gold;1;#A67C00;2021;SO2;Jahresmenge;t/a;9.667168702;Ostluft & BAFU
Dienstleistungen;verschiedene;Gold;2;#FFBF00;2021;SO2;Jahresmenge;t/a;0.00770780418;Ostluft & BAFU
Haushalte;Feuerungen Öl und Gas;Green;7;#CAD2C5;2021;SO2;Jahresmenge;t/a;50.276260709;Ostluft & BAFU
Haushalte;Feuerungen Holz und Kohle;Green;4;#354F52;2021;SO2;Jahresmenge;t/a;16.467940359;Ostluft & BAFU
Haushalte;verschiedene;Green;5;#52796F;2021;SO2;Jahresmenge;t/a;2.8757583536399998;Ostluft & BAFU
Industrie;verschiedene;Blue;9;#2C497F;2021;SO2;Jahresmenge;t/a;176.0712129736119;Ostluft & BAFU
Industrie;Kehrichtverbrennungsanagen;Blue;11;#E3E4FA;2021;SO2;Jahresmenge;t/a;41.046043999999995;Ostluft & BAFU
Industrie;Baumaschinen;Blue;10;#8897BD;2021;SO2;Jahresmenge;t/a;9.791852012;Ostluft & BAFU
Land- und Forstw.;verschiedene;Purple;13;#7B2CBF;2021;SO2;Jahresmenge;t/a;1.2562489796396;Ostluft & BAFU
Verkehr;Flugverkehr;Gray;17;#E5E5E5;2021;SO2;Jahresmenge;t/a;41.555881499;Ostluft & BAFU
Verkehr;Strassenverkehr;Gray;15;#1A1A1A;2021;SO2;Jahresmenge;t/a;8.242633355;Ostluft & BAFU
Verkehr;verschiedene;Gray;16;#7F7F7F;2021;SO2;Jahresmenge;t/a;0.2286643372;Ostluft & BAFU
Dienstleistungen;Feuerungen Holz und Kohle;Gold;1;#A67C00;2021;eBC;Jahresmenge;t/a;20.751774637;Ostluft & BAFU
Dienstleistungen;Feuerungen Öl und Gas;Gold;3;#FFD447;2021;eBC;Jahresmenge;t/a;0.10383341174;Ostluft & BAFU
Haushalte;Feuerungen Holz und Kohle;Green;4;#354F52;2021;eBC;Jahresmenge;t/a;42.825092849;Ostluft & BAFU
Haushalte;verschiedene;Green;5;#52796F;2021;eBC;Jahresmenge;t/a;2.64217241552;Ostluft & BAFU
Haushalte;Feuerungen Öl und Gas;Green;7;#CAD2C5;2021;eBC;Jahresmenge;t/a;0.10419369787;Ostluft & BAFU
Industrie;verschiedene;Blue;9;#2C497F;2021;eBC;Jahresmenge;t/a;4.621968139979;Ostluft & BAFU
Industrie;Baumaschinen;Blue;10;#8897BD;2021;eBC;Jahresmenge;t/a;1.913885348;Ostluft & BAFU
Industrie;Kehrichtverbrennungsanagen;Blue;11;#E3E4FA;2021;eBC;Jahresmenge;t/a;0.058253808;Ostluft & BAFU
Land- und Forstw.;verschiedene;Purple;13;#7B2CBF;2021;eBC;Jahresmenge;t/a;7.8809238700698;Ostluft & BAFU
Verkehr;Strassenverkehr;Gray;15;#1A1A1A;2021;eBC;Jahresmenge;t/a;29.583287361;Ostluft & BAFU
Verkehr;Flugverkehr;Gray;17;#E5E5E5;2021;eBC;Jahresmenge;t/a;3.74755708;Ostluft & BAFU
Verkehr;verschiedene;Gray;16;#7F7F7F;2021;eBC;Jahresmenge;t/a;1.577636183;Ostluft & BAFU
