year;site;site_long;source;siteclass;ecosystem_category;critical_load_min;critical_load_single;critical_load_max;parameter;unit;value
2001;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;7.1080929275838844
2001;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;16.627215921332407
2001;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;23.7353088489163
2001;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;8.587945815880612
2001;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;26.501188315096062
2001;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;N-Deposition;kg-N/ha/a;35.0891341309766
2002;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;7.25379445091438
2002;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;17.661686992339106
2002;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;24.9154814432535
2002;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;8.54621027913652
2002;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;26.99294241348707
2002;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;N-Deposition;kg-N/ha/a;35.5391526926236
2003;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;6.92015018774239
2003;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;16.73553246868455
2003;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;23.6556826564269
2003;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;8.50295802859008
2003;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;26.72380428812496
2003;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;N-Deposition;kg-N/ha/a;35.226762316715
2004;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;7.025132536096439
2004;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;13.94326062456965
2004;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;20.9683931606661
2004;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;8.39876887343779
2004;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;20.79227689101624
2004;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;N-Deposition;kg-N/ha/a;29.191045764454
2005;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;7.548995527637486
2005;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;15.022971670976833
2005;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;22.5719671986143
2005;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;8.91338291802245
2005;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;21.9601106819907
2005;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;N-Deposition;kg-N/ha/a;30.8734936000132
2006;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;8.048167754107386
2006;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;18.516759222166712
2006;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;26.5649269762741
2006;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;9.49499663211651
2006;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;28.47955561175135
2006;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;N-Deposition;kg-N/ha/a;37.9745522438679
2007;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;6.903831433767506
2007;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;14.936159138331687
2007;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;21.8399905720992
2007;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;8.300701362384821
2007;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;23.46659297941815
2007;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;N-Deposition;kg-N/ha/a;31.767294341803
2008;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;7.003830327763805
2008;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;12.56106286089944
2008;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;19.5648931886632
2008;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;8.49228130899354
2008;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;19.474052142161568
2008;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;N-Deposition;kg-N/ha/a;27.9663334511551
2009;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;7.137177637000973
2009;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;15.746878389523772
2009;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;22.8840560265247
2009;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;8.509831679930421
2009;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;24.73602269456316
2009;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;N-Deposition;kg-N/ha/a;33.2458543744935
2010;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;7.273799323033888
2010;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;13.320279486323512
2010;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;20.5940788093574
2010;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;8.73508849838272
2010;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;21.299259903105888
2010;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;N-Deposition;kg-N/ha/a;30.0343484014886
2011;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;6.67113022974377
2011;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;14.38798576595255
2011;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;21.0591159956963
2011;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;8.169535449496342
2011;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;23.68340416857232
2011;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;N-Deposition;kg-N/ha/a;31.8529396180687
2012;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;7.400164453421144
2012;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;13.638891485043331
2012;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;21.0390559384645
2012;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;8.74792897937576
2012;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;21.47812018427825
2012;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;N-Deposition;kg-N/ha/a;30.226049163654
2013;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;7.76766894057464
2013;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;13.39842553697327
2013;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;21.1660944775479
2013;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;9.27332758816027
2013;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;20.58526425886486
2013;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;N-Deposition;kg-N/ha/a;29.8585918470252
2014;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;6.612183088397714
2014;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;14.635644942097416
2014;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;21.2478280304951
2014;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;7.941082661276876
2014;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;23.68406702051277
2014;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;N-Deposition;kg-N/ha/a;31.6251496817896
2015;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;5.810171000432987
2015;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;12.94446874917547
2015;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;18.7546397496085
2015;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;7.108193165281972
2015;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;21.51005034891567
2015;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;N-Deposition;kg-N/ha/a;28.6182435141976
2016;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;6.594544773593598
2016;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;13.443287035616054
2016;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;20.0378318092097
2016;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;7.8191955318962645
2016;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;21.10630338027569
2016;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;N-Deposition;kg-N/ha/a;28.9254989121719
2017;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;7.045044062236116
2017;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;14.887774008368954
2017;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;21.9328180706051
2017;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;8.261950680291752
